month,app_type,classification,score_borda,relative_score
2017-01-01,Free,Cognitive Development,123.52556962025317,0.12638299126774394
2017-01-01,Free,Education Management,97.93898573692552,0.10020453269079356
2017-01-01,Free,Licensing Exam,127.11499798954564,0.13005545111267391
2017-01-01,Free,Non-Education,100.93409435476678,0.1032689248442422
2017-01-01,Free,Parents,115.13324175824175,0.1177965301636882
2017-01-01,Free,Preschool,92.697271176805,0.09484156559405167
2017-01-01,Free,Professional & Career,93.94563426688633,0.09611880610383236
2017-01-01,Free,Subject Learning,103.12809251939687,0.10551367507477608
2017-01-01,Free,Teaching and Learning,122.97288629737609,0.12581752314819802
2017-01-01,Paid,Cognitive Development,52.333333333333336,0.044876595618508354
2017-01-01,Paid,Education Management,79.42676767676768,0.06810961020985057
2017-01-01,Paid,Entertainment,114.68123393316195,0.09834082853981019
2017-01-01,Paid,Hobby,134.7067448680352,0.11551299585723039
2017-01-01,Paid,Licensing Exams,113.9090909090909,0.09767870464966583
2017-01-01,Paid,Parents,102.51449275362319,0.08790767075810546
2017-01-01,Paid,Preschool,106.09021026452633,0.0909739006074587
2017-01-01,Paid,Professional,77.6421052631579,0.06657923619486107
2017-01-01,Paid,Subject Learning,100.23293026638785,0.08595119769215606
2017-01-01,Paid,Teaching and Learning,101.00709219858156,0.08661505282542295
2017-01-01,Paid,Translating,90.1029810298103,0.07726461866936801
2017-01-01,Paid,Well-being,93.51396648044692,0.08018958837756232
2017-02-01,Free,Cognitive Development,120.32356257046223,0.12319390582967382
2017-02-01,Free,Education Management,97.22861356932154,0.09954802208415636
2017-02-01,Free,Licensing Exam,129.47905652704353,0.1325678059720563
2017-02-01,Free,Non-Education,101.38303850156088,0.10380155167507941
2017-02-01,Free,Parents,122.23504273504274,0.12515098474555716
2017-02-01,Free,Preschool,94.87134308510639,0.09713451842914772
2017-02-01,Free,Professional & Career,84.30248306997743,0.0863135360910597
2017-02-01,Free,Subject Learning,102.62039645546278,0.10506842705670985
2017-02-01,Free,Teaching and Learning,124.2570702256117,0.12722124811655972
2017-02-01,Paid,Cognitive Development,70.375,0.06090903623765861
2017-02-01,Paid,Education Management,92.1041095890411,0.07971541809728148
2017-02-01,Paid,Entertainment,111.46371275783041,0.09647100986928117
2017-02-01,Paid,Hobby,131.00175336060784,0.1133810379060473
2017-02-01,Paid,Licensing Exams,113.68198433420366,0.09839090733045754
2017-02-01,Paid,Parents,98.43165467625899,0.08519186105305801
2017-02-01,Paid,Preschool,102.88123456790123,0.08904293917543661
2017-02-01,Paid,Professional,75.58515283842794,0.06541838455793637
2017-02-01,Paid,Subject Learning,98.55153824704898,0.08529561938709065
2017-02-01,Paid,Teaching and Learning,84.70744680851064,0.07331366177277604
2017-02-01,Paid,Translating,87.38529411764706,0.07563131859396406
2017-02-01,Paid,Well-being,89.24260355029585,0.07723880601901202
2017-03-01,Free,Cognitive Development,117.61510974987239,0.1210158326348609
2017-03-01,Free,Education Management,100.2285050348567,0.10312651168999731
2017-03-01,Free,Licensing Exam,122.69948186528498,0.12624721426839963
2017-03-01,Free,Non-Education,101.16947368421053,0.10409468750369184
2017-03-01,Free,Parents,119.07701863354038,0.12252001114704032
2017-03-01,Free,Preschool,100.09611510791368,0.10299029384115502
2017-03-01,Free,Professional & Career,84.65376344086022,0.08710144207029796
2017-03-01,Free,Subject Learning,103.14995021272743,0.10613242752384713
2017-03-01,Free,Teaching and Learning,123.20911148839842,0.12677157932070984
2017-03-01,Paid,Cognitive Development,89.875,0.07827986015750177
2017-03-01,Paid,Education Management,81.73958333333333,0.07119402673341636
2017-03-01,Paid,Entertainment,112.08805418719211,0.09762711774241868
2017-03-01,Paid,Hobby,127.62474747474748,0.11115935894252806
2017-03-01,Paid,Licensing Exams,116.1936923076923,0.10120307076528448
2017-03-01,Paid,Parents,101.77333333333333,0.08864314104140357
2017-03-01,Paid,Preschool,94.67547000895256,0.08246100197659592
2017-03-01,Paid,Professional,76.8989898989899,0.06697793797547782
2017-03-01,Paid,Subject Learning,95.3071516142215,0.08301118776490768
2017-03-01,Paid,Teaching and Learning,83.71966527196653,0.07291865023557605
2017-03-01,Paid,Translating,86.30238095238096,0.07516815924575049
2017-03-01,Paid,Well-being,81.92610837438424,0.07135648741913916
2017-04-01,Free,Cognitive Development,112.34718425369054,0.11440624925090712
2017-04-01,Free,Education Management,110.49576669802445,0.11252089947780783
2017-04-01,Free,Licensing Exam,124.95781893004116,0.12724800780123152
2017-04-01,Free,Non-Education,104.64190850959173,0.10655975355827137
2017-04-01,Free,Parents,118.3627844712182,0.12053210155821738
2017-04-01,Free,Preschool,99.24636855596697,0.10106532579064938
2017-04-01,Free,Professional & Career,87.69720101781171,0.08930448862514406
2017-04-01,Free,Subject Learning,100.867666232073,0.102716338117079
2017-04-01,Free,Teaching and Learning,123.38546458141674,0.12564683582069242
2017-04-01,Paid,Cognitive Development,72.6842105263158,0.06475594688199743
2017-04-01,Paid,Education Management,95.77225130890052,0.08532558548301299
2017-04-01,Paid,Entertainment,114.59444270995941,0.1020946859209749
2017-04-01,Paid,Hobby,127.45459704880817,0.1135520776327452
2017-04-01,Paid,Licensing Exams,114.28849407783417,0.10182210961826678
2017-04-01,Paid,Parents,84.40566037735849,0.07519884195422641
2017-04-01,Paid,Preschool,98.22351543942993,0.08750947010776017
2017-04-01,Paid,Professional,73.7536231884058,0.06570870992420125
2017-04-01,Paid,Subject Learning,96.78365927040241,0.08622667087359218
2017-04-01,Paid,Teaching and Learning,72.85227272727273,0.06490567715875539
2017-04-01,Paid,Translating,83.9291553133515,0.07477431321008235
2017-04-01,Paid,Well-being,87.69109947643979,0.07812591123438482
2017-05-01,Free,Cognitive Development,112.26727642276423,0.11525921721319594
2017-05-01,Free,Education Management,105.65913200723327,0.10847496469692654
2017-05-01,Free,Licensing Exam,125.05336721728081,0.12838605936302483
2017-05-01,Free,Non-Education,106.01431727794963,0.10883961571165557
2017-05-01,Free,Parents,121.41585535465924,0.12465160723014611
2017-05-01,Free,Preschool,97.69331810394061,0.10029686058489576
2017-05-01,Free,Professional & Career,83.61660777385158,0.08584500368339543
2017-05-01,Free,Subject Learning,102.40770081061164,0.1051368823412635
2017-05-01,Free,Teaching and Learning,119.91406037530595,0.12310978917549639
2017-05-01,Paid,Cognitive Development,81.25,0.06917093859420906
2017-05-01,Paid,Education Management,88.2734375,0.0751502341515354
2017-05-01,Paid,Entertainment,117.0437765436132,0.09964342006317041
2017-05-01,Paid,Hobby,138.1328320802005,0.11759726333124604
2017-05-01,Paid,Licensing Exams,112.41951951951953,0.09570662992584827
2017-05-01,Paid,Parents,103.82727272727273,0.08839175269196775
2017-05-01,Paid,Preschool,97.39241706161137,0.08291353723212701
2017-05-01,Paid,Professional,81.42566191446029,0.06932048566495952
2017-05-01,Paid,Subject Learning,95.63350738206698,0.08141611651290824
2017-05-01,Paid,Teaching and Learning,81.29655172413793,0.06921056968900044
2017-05-01,Paid,Translating,84.81673306772909,0.07220742196663767
2017-05-01,Paid,Well-being,93.11453744493392,0.0792716301763902
2017-06-01,Free,Cognitive Development,115.68852459016394,0.11977233459233186
2017-06-01,Free,Education Management,102.46507515473033,0.10608209681069976
2017-06-01,Free,Licensing Exam,124.45194401244169,0.12884510310533984
2017-06-01,Free,Non-Education,109.94024860694385,0.11382114421428603
2017-06-01,Free,Parents,119.47994269340974,0.12369758992124275
2017-06-01,Free,Preschool,98.86069511161345,0.10235048199366005
2017-06-01,Free,Professional & Career,79.09193776520509,0.08188388664415076
2017-06-01,Free,Subject Learning,100.03567547134149,0.10356693921172307
2017-06-01,Free,Teaching and Learning,115.88951841359773,0.11998042350656589
2017-06-01,Paid,Cognitive Development,60.766666666666666,0.05444594789215156
2017-06-01,Paid,Education Management,91.94093686354378,0.08237758844149372
2017-06-01,Paid,Entertainment,114.63459196102315,0.10271073539025655
2017-06-01,Paid,Hobby,131.13478260869564,0.11749463863019748
2017-06-01,Paid,Licensing Exams,111.34229828850856,0.09976089365016785
2017-06-01,Paid,Parents,98.09859154929578,0.08789474718244242
2017-06-01,Paid,Preschool,93.76979611190137,0.08401621666976837
2017-06-01,Paid,Professional,71.61077844311377,0.06416209618700246
2017-06-01,Paid,Subject Learning,93.03329643977126,0.08335632490721134
2017-06-01,Paid,Teaching and Learning,93.1880341880342,0.08349496742030305
2017-06-01,Paid,Translating,81.21836734693878,0.07277034004043421
2017-06-01,Paid,Well-being,75.35348837209303,0.0675155035885709
2017-07-01,Free,Cognitive Development,121.01057692307693,0.12474391254035928
2017-07-01,Free,Education Management,97.91314031180401,0.10093388960017728
2017-07-01,Free,Licensing Exam,125.19863622887637,0.1290611789896266
2017-07-01,Free,Non-Education,114.02126654064273,0.1175389727306927
2017-07-01,Free,Parents,115.30351906158357,0.11886078443008306
2017-07-01,Free,Preschool,99.96864447660396,0.10305280877468169
2017-07-01,Free,Professional & Career,85.69749009247028,0.08834137048878718
2017-07-01,Free,Subject Learning,99.74639692059797,0.10282370458896789
2017-07-01,Free,Teaching and Learning,111.2123310253874,0.11464337785662432
2017-07-01,Paid,Cognitive Development,61.4,0.05572908803293397
2017-07-01,Paid,Education Management,93.62471395881006,0.08497752322913336
2017-07-01,Paid,Entertainment,110.75699888017917,0.10052746809213477
2017-07-01,Paid,Hobby,134.5890791300324,0.12215841431773765
2017-07-01,Paid,Licensing Exams,107.87178759051541,0.09790873529156006
